lat,lon
8.957435,38.718593
8.957436,38.718593
8.957437,38.718593
8.957438,38.718593
8.957439,38.718593
8.957433,38.718593
8.957432,38.718593
8.957431,38.718593
8.95743,38.718593
8.957434,38.718593
8.957435,38.718593
8.957435,38.718593
8.957435,38.718594
8.957435,38.718595
8.957435,38.718596
8.957435,38.718597
8.957435,38.718598
8.957435,38.718599
8.957435,38.718593
8.957435,38.718593
8.957435,38.718593
8.957435,38.718593
8.957435,38.718593
9.011004,38.721001
8.99432,38.737768
9.016631,38.771676
8.948756,38.781024
8.950001,38.749999
9.003531,38.694292
8.961137,38.725422
8.987114,38.707802
8.983521,38.697333
9.05681,38.713392
8.937995,38.763034
8.866949,38.824969
8.880213,38.768718
8.935603,38.744983
9.019614,38.801674
9.021402,38.84261
9.005168,38.768557
8.9363743,38.73354
8.995379,38.809485
8.953249,38.763622
8.951201,38.687758
9.011473,38.746362
9.04089,38.714103
8.980872,38.767414
9.078418,38.723346
9.054187,38.883371
8.998617,38.770888
8.97773,38.887717
9.006612,38.677485
9.065556,38.693482
8.988012,38.764263
8.964434,38.732963
8.975714,38.680114
8.933473,38.663784
8.984078,38.734815
8.966732,38.742462
9.047878,38.728171
9.003587,38.694989
9.002432,38.698578
8.984655,38.75936
